stage,rule_id,rule_key,rule_family,issue_type,field_path,field_path_annotated,source_columns,value_source,dataset_scope,denominator,count_unit,severity,description
pre,R_APP_008,flag_dob_non_iso_format,APP,Consistency,applicant_info.date_of_birth,applicant_info.date_of_birth_raw,raw_applicant_date_of_birth,raw,raw,application_rows,rows,low,DOB not in canonical YYYY-MM-DD format.
pre,R_APP_009,flag_dob_ambiguous_format,APP,Consistency,applicant_info.date_of_birth,applicant_info.date_of_birth_raw,raw_applicant_date_of_birth,raw,raw,application_rows,rows,medium,DOB format is ambiguous NN/NN/YYYY.
pre,R_APP_010,flag_annual_income_string_type,APP,Consistency,financials.annual_income,financials.annual_income_raw,raw_financial_annual_income,raw,raw,application_rows,rows,low,Annual income stored as string instead of numeric.
pre,R_APP_011,flag_financial_field_drift_salary,APP,Consistency,financials.annual_salary,financials.annual_income_raw|financials.annual_salary_raw,raw_financial_annual_income|raw_financial_annual_salary,raw,raw,application_rows,rows,medium,Annual salary provided while annual income missing (field drift).
pre,R_APP_012,flag_credit_history_negative,APP,Validity,financials.credit_history_months,financials.credit_history_months_raw,raw_financial_credit_history_months,raw,raw,application_rows,rows,high,Credit history months is negative.
pre,R_APP_013,flag_savings_negative,APP,Validity,financials.savings_balance,financials.savings_balance_raw,raw_financial_savings_balance,raw,raw,application_rows,rows,high,Savings balance is negative.
pre,R_APP_014,flag_dti_out_of_range,APP,Validity,financials.debt_to_income,financials.debt_to_income_raw,raw_financial_debt_to_income,raw,raw,application_rows,rows,high,"Debt-to-income is outside [0, 1]."
pre,R_APP_015,flag_approved_missing_required_fields,APP,Cross-field logic,decision.loan_approved,decision.loan_approved_raw,raw_decision_loan_approved|raw_decision_approved_amount|raw_decision_interest_rate,raw,raw,application_rows,rows,high,Approved loan missing approved_amount and/or interest_rate.
pre,R_APP_016,flag_rejected_missing_reason,APP,Cross-field logic,decision.rejection_reason,decision.loan_approved_raw|decision.rejection_reason_raw,raw_decision_loan_approved|raw_decision_rejection_reason,raw,raw,application_rows,rows,medium,Rejected loan missing rejection_reason.
pre,R_APP_017,flag_approved_credit_history_zero,APP,Plausibility,financials.credit_history_months,decision.loan_approved_raw|financials.credit_history_months_raw,raw_decision_loan_approved|raw_financial_credit_history_months,raw,raw,application_rows,rows,medium,Loan approved with zero months of credit history.
pre,R_APP_018,flag_approved_credit_history_lt6,APP,Plausibility,financials.credit_history_months,decision.loan_approved_raw|financials.credit_history_months_raw,raw_decision_loan_approved|raw_financial_credit_history_months,raw,raw,application_rows,rows,medium,Loan approved with less than 6 months of credit history.
pre,R_APP_019,flag_private_ip_address,APP,Synthetic indicator,applicant_info.ip_address,applicant_info.ip_address_raw,raw_applicant_ip_address,raw,raw,application_rows,rows,low,IP address is private-range (likely masked/synthetic).
pre,R_DUP_001,dup_rows_application_id,DUP,Uniqueness,_id,_id_duplicate_rows,application_id|is_duplicate_id,metadata,quality,application_rows,rows,high,Rows with duplicated application_id values.
pre,R_DUP_002,dup_distinct_application_id,DUP,Uniqueness,_id,_id_duplicate_distinct_ids,application_id,metadata,quality,application_rows,distinct_ids,high,Distinct application_id keys that are duplicated.
pre,R_DUP_003,dup_rows_ssn,DUP,Uniqueness,applicant_info.ssn,applicant_info.ssn_duplicate_rows,raw_applicant_ssn|application_id,raw,quality,application_rows,rows,high,Rows where SSN repeats across one or more records.
pre,R_DUP_004,dup_distinct_ssn_cross_app,DUP,Uniqueness,applicant_info.ssn,applicant_info.ssn_cross_application_distinct,raw_applicant_ssn|application_id,raw,quality,application_rows,distinct_ids,high,Distinct SSN values that appear across different application IDs.
pre,R_SPN_001,flag_spending_missing_category,SPN,Completeness,spending_behavior[].category,spending_behavior[].category_raw,raw_category,raw,raw,spending_rows,rows,medium,Spending category missing or blank.
pre,R_SPN_002,flag_spending_amount_non_numeric,SPN,Validity,spending_behavior[].amount,spending_behavior[].amount_raw,raw_amount,raw,raw,spending_rows,rows,high,Spending amount cannot be parsed as numeric.
pre,R_SPN_003,flag_spending_amount_negative,SPN,Validity,spending_behavior[].amount,spending_behavior[].amount_raw,raw_amount,raw,raw,spending_rows,rows,high,Spending amount is negative.
